"ROADID","Dir","i","j","AUTO","SUT","MUT","SPEED","LENGTH","num_lanes","FCLASS","zone","County","waterf","noisef"
60,1,33537,33539,1514.291491,0.000000,1342.191268,29.935686,0.224703,1,81,180401,DAVIESS,1,1
61,1,33539,28473,1514.291491,0.000000,1342.191268,29.935686,0.221582,1,81,180401,DAVIESS,1,1
82,1,35003,35004,6112.130625,0.000000,1861.445817,71.917383,0.462399,2,1,181416,DUBOIS,1,1
83,1,35004,34067,6112.130625,0.000000,1861.445817,71.917381,0.461760,2,1,181416,DUBOIS,1,1
276,1,35631,35623,1358.090494,0.000000,349.733834,29.996998,0.183599,1,81,181449,PERRY,1,1
277,1,35623,35624,1358.090494,0.000000,349.733834,29.996998,0.182972,1,81,181449,PERRY,1,1
278,1,32582,32583,5988.345680,0.000000,7372.615804,69.991978,7.222028,2,1,180944,PIKE,1,1
279,1,32760,32761,7835.739142,0.000000,6374.007968,70.164736,0.141482,2,1,180967,PIKE,1,1
280,1,32761,32700,7835.739142,0.000000,6374.007968,70.164734,0.140710,2,1,180967,PIKE,1,1
281,1,33266,33267,1573.339091,0.000000,154.139926,29.998157,0.169503,1,81,180944,PIKE,1,1
282,1,33267,32615,1573.339091,0.000000,154.139926,29.998157,0.186243,1,81,180944,PIKE,1,1
318,1,34736,34794,577.658087,0.000000,164.072434,29.999886,0.283027,1,81,181402,SPENCER,1,1
319,1,34794,34795,577.658087,0.000000,164.072434,29.999885,0.319397,1,81,181402,SPENCER,1,1
320,1,34842,34848,878.368443,0.000000,80.023044,29.999829,0.009170,1,81,181404,SPENCER,1,1
321,1,34848,34804,878.368443,0.000000,80.023044,29.999832,0.009123,1,81,181404,SPENCER,1,1
344,1,30575,31190,1796.005764,0.000000,77.352872,29.998004,0.171359,1,81,181247,WARRICK,1,1
345,1,31190,29516,1796.005764,0.000000,77.352872,29.998003,0.172843,1,81,181247,WARRICK,1,1
372,1,39783,39789,464.186093,0.000000,4.919525,29.999992,0.237899,1,81,180516,GREENE,1,1
373,1,39789,39342,464.186093,0.000000,4.919525,29.999994,0.229728,1,81,180516,GREENE,1,1
436,1,36982,36988,1545.931572,0.000000,21.270758,29.999156,0.187589,1,81,181197,CRAWFORD,1,1
437,1,36988,36960,1545.931572,0.000000,21.270758,29.999158,0.184687,1,81,181197,CRAWFORD,1,1
438,1,33540,33541,984.131017,0.000000,201.138453,29.999404,0.178542,1,81,180423,DAVIESS,1,1
439,1,33541,33392,984.131017,0.000000,201.138453,29.999404,0.179897,1,81,180423,DAVIESS,1,1
462,1,34937,34973,6955.032127,0.000000,1684.559729,71.903444,0.246660,2,1,181415,DUBOIS,1,1
463,1,34973,34975,6955.032127,0.000000,1684.559729,71.903443,0.246713,2,1,181416,DUBOIS,1,1
499,1,28468,39389,4826.594104,0.000000,8232.427389,69.680773,1.550052,2,1,180533,GREENE,1,1
500,1,39389,39461,4826.594104,0.000000,8232.427389,69.680765,1.532978,2,1,180531,GREENE,1,1
714,1,35405,35534,215.264193,0.000000,8.887498,30.000000,0.192629,1,81,181421,PERRY,1,1
715,1,35534,35536,215.264193,0.000000,8.887498,30.000000,0.184557,1,81,181421,PERRY,1,1
