minority,lowengpro,age18or65,lowinc,TAZ
0,0,0,0,180000
0,0,0,0,180001
0,0,0,0,180002
0,0,0,0,180003
0,0,0,0,180004
0,0,0,0,180005
0,0,0,0,180006
0,0,0,0,180007
0,0,0,0,180008
0,0,0,0,180009
0,0,0,0,180010
0,0,0,0,180011
0,0,0,0,180012
0,0,0,0,180013
0,0,0,0,180014
0,0,0,0,180015
0,0,0,0,180016
0,0,0,0,180017
0,0,0,0,180018
0,0,0,0,180019
0,0,0,0,180020
0,0,0,0,180021
0,0,0,0,180022
0,0,0,0,180023
0,0,0,0,180024
0,0,0,0,180025
0,0,0,0,180026
0,0,0,0,180027
0,0,0,0,180028
0,0,0,0,180029
0,0,0,0,180030
0,0,0,0,180031
0,0,0,0,180032
0,0,0,0,180033
0,0,0,0,180034
0,0,0,0,180035
0,0,0,0,180036
0,0,0,0,180037
0,0,0,0,180038
0,0,0,0,180039
0,0,0,0,180040
0,0,0,0,180041
0,0,0,0,180042
0,0,0,0,180043
0,0,0,0,180044
0,0,0,0,180045
0,0,0,0,180046
0,0,0,0,180047
0,0,0,0,180048
0,0,0,0,180049
0,0,0,0,180050
0,0,0,0,180051
0,0,0,0,180052
0,0,0,0,180053
0,0,0,0,180054
0,0,0,0,180055
0,0,0,0,180056
0,0,0,0,180057
0,0,0,0,180058
0,0,0,0,180059
0,0,0,0,180060
0,0,0,0,180061
0,0,0,0,180062
0,0,0,0,180063
0,0,0,0,180064
0,0,0,0,180065
0,0,0,0,180066
0,0,0,0,180067
0,0,0,0,180068
0,0,0,0,180069
0,0,0,0,180070
0,0,0,0,180071
0,0,0,0,180072
0,0,0,0,180073
0,0,0,0,180074
0,0,0,0,180075
0,0,0,0,180076
0,0,0,0,180077
0,0,0,0,180078
0,0,0,0,180079
0,0,0,0,180080
0,0,0,0,180081
0,0,0,0,180082
0,0,0,0,180083
0,0,0,0,180084
0,0,0,0,180085
0,0,0,0,180086
0,0,0,0,180087
0,0,0,0,180088
0,0,0,0,180089
0,0,0,0,180090
0,0,0,0,180091
0,0,0,0,180092
0,0,0,0,180093
0,0,0,0,180094
0,0,0,0,180095
0,0,0,0,180096
0,0,0,0,180097
0,0,0,0,180098
0,0,0,0,180099
0,0,0,0,180100
0,0,0,0,180101
0,0,0,0,180102
0,0,0,0,180103
0,0,0,0,180104
0,0,0,0,180105
0,0,0,0,180106
0,0,0,0,180107
0,0,0,0,180108
0,0,0,0,180109
0,0,0,0,180110
0,0,0,0,180111
0,0,0,0,180112
0,0,0,0,180113
0,0,0,0,180114
0,0,0,0,180115
0,0,0,0,180116
0,0,0,0,180117
0,0,0,0,180118
0,0,0,0,180119
0,0,0,0,180120
