TAZ,households
180000,1552
180001,1284
180002,61
180003,555
180004,116
180005,911
180006,4040
180007,265
180008,1832
180009,607
180010,490
180011,2247
180012,508
180013,1052
180014,19
180015,111
180016,93
180017,205
180018,451
180019,599
180020,267
180021,61
180022,342
180023,537
180024,255
180025,210
180026,181
180027,796
180028,2238
180029,1159
180030,284
180031,107
180032,211
180033,269
180034,26
180035,3324
180036,3421
180037,3373
180038,4809
180039,3503
180040,1221
180041,1049
180042,2433
180043,2134
180044,855
180045,358
180046,166
180047,145
180048,96
180049,1544
180050,307
180051,103
180052,226
180053,49
180054,985
180055,122
180056,440
180057,479
180058,512
180059,304
180060,85
180061,457
180062,549
180063,317
180064,341
180065,646
180066,492
180067,650
180068,60
180069,410
180070,281
180071,191
180072,34
180073,530
180074,35
180075,128
180076,336
180077,154
180078,837
180079,351
180080,2026
180081,956
180082,107
180083,342
180084,496
180085,829
180086,1064
180087,495
180088,425
180089,351
180090,158
180091,168
180092,983
180093,543
180094,227
180095,1765
180096,620
180097,71
180098,30
180099,336
180100,133
180101,559
180102,298
180103,524
180104,243
180105,190
180106,47
180107,100
180108,31
180109,74
180110,366
180111,747
180112,883
180113,193
180114,574
180115,23
180116,82
180117,1211
180118,129
180119,879
180120,481
180121,291
180122,513
180123,857
180124,16
180125,234
180126,28
180127,32
180128,1
180129,859
180130,62
180131,421
180132,43
180133,17
180134,224
180135,380
180136,184
180137,279
180138,249
180139,524
180140,378
180141,556
180142,79
180143,1006
180144,201
180145,504
180146,1092
180147,364
180148,463
180149,158
180150,226
180151,876
180152,199
180153,78
180154,155
180155,336
180156,399
180157,166
180158,264
180159,491
180160,207
180161,52
180162,459
180163,299
180164,964
180165,504
180166,528
180167,1008
180168,481
180169,191
180170,191
180171,0
180172,723
180173,905
180174,551
180175,704
180176,695
180177,869
180178,181
180179,181
180180,1153
180181,661
180182,445
180183,300
180184,25
180185,39
180186,112
180187,30
180188,379
180189,783
180190,596
180191,291
180192,206
180193,3
180194,392
180195,47
180196,282
180197,104
180198,178
180199,72
180200,33
180201,456
180202,1335
180203,573
180204,258
180205,120
180206,173
180207,439
180208,702
180209,46
180210,234
180211,164
180212,89
180213,581
180214,62
180215,135
180216,310
180217,232
180218,39
180219,65
180220,157
180221,9
180222,141
180223,294
180224,394
180225,477
180226,262
180227,301
180228,302
180229,43
180230,303
180231,49
180232,185
180233,514
180234,348
180235,230
180236,426
180237,213
180238,232
180239,429
180240,732
180241,822
180242,308
180243,597
180244,396
180245,545
180246,789
180247,313
180248,263
180249,1
180250,9
180251,261
180252,243
180253,10
180254,221
180255,664
180256,131
180257,260
180258,527
180259,614
180260,615
180261,951
180262,2249
180263,327
180264,3065
180265,1165
180266,2536
180267,4393
180268,632
180269,389
180270,3629
180271,569
180272,1538
180273,644
180274,1580
180275,726
180276,2670
180277,119
180278,49
180279,2
180280,498
180281,105
180282,134
180283,5677
180284,557
180285,14
180286,367
180287,1147
180288,29
180289,536
180290,124
180291,93
180292,91
180293,1373
180294,1302
180295,111
180296,92
180297,739
180298,3423
180299,1226
180300,227
180301,165
180302,173
180303,276
180304,71
180305,41
180306,3206
180307,744
180308,809
180309,630
180310,23
180311,3310
180312,3075
180313,6278
180314,2182
180315,388
180316,1931
180317,1380
180318,6604
180319,6517
180320,5556
180321,5116
180322,1623
180323,2228
180324,1038
180325,1480
180326,293
180327,493
180328,84
180329,6651
180330,6791
180331,4797
180332,3946
180333,33
180334,35
180335,194
180336,481
180337,668
180338,3951
180339,87
180340,608
180341,854
180342,493
180343,3152
180344,749
180345,77
180346,17
180347,120
180348,1853
180349,2257
180350,556
180351,3021
180352,845
180353,140
180354,1249
180355,2071
180356,86
180357,134
180358,104
180359,190
180360,55
180361,18
180362,79
180363,14
180364,17
180365,103
180366,36
180367,59
180368,158
180369,38
180370,70
180371,81
180372,206
180373,240
180374,392
180375,72
180376,251
180377,85
180378,147
180379,13
180380,80
180381,16
180382,109
180383,355
180384,143
180385,505
180386,309
180387,103
180388,91
180389,123
180390,100
180391,64
180392,169
180393,773
180394,335
180395,607
180396,55
180397,154
180398,187
180399,295
180400,115
180401,38
180402,181
180403,503
180404,482
180405,192
180406,298
180407,720
180408,145
180409,205
180410,385
180411,237
180412,213
180413,145
180414,23
180415,119
180416,211
180417,169
180418,66
180419,578
180420,342
180421,152
180422,325
180423,86
180424,4
180425,262
180426,148
180427,341
180428,360
180429,989
180430,227
180431,276
180432,256
180433,236
180434,104
180435,410
180436,91
180437,241
180438,39
180439,57
180440,146
180441,350
180442,28
180443,5
180444,17
180445,7
180446,202
180447,284
180448,114
180449,23
180450,299
180451,132
180452,189
180453,201
180454,211
180455,218
180456,101
180457,133
180458,363
180459,258
180460,70
180461,156
180462,24
180463,283
180464,254
180465,325
180466,83
180467,66
180468,152
180469,1176
180470,367
180471,55
180472,417
180473,122
180474,139
180475,134
180476,157
180477,56
180478,60
180479,131
180480,46
180481,183
180482,172
180483,156
180484,97
180485,108
180486,94
180487,100
180488,26
180489,856
180490,551
180491,235
180492,536
180493,306
180494,66
180495,341
180496,257
180497,205
180498,307
180499,260
180500,183
180501,488
180502,363
180503,584
180504,218
180505,278
180506,149
180507,170
180508,368
180509,340
180510,116
180511,1479
180512,37
180513,110
180514,42
180515,145
180516,452
180517,275
180518,67
180519,579
180520,372
180521,61
180522,198
180523,147
180524,645
180525,60
180526,233
180527,344
180528,434
180529,244
180530,238
180531,188
180532,370
180533,188
180534,85
180535,122
180536,90
180537,60
180538,99
180539,218
180540,55
180541,72
180542,632
180543,1221
180544,107
180545,191
180546,129
180547,531
180548,65
180549,65
180550,690
180551,29
180552,251
180553,339
180554,282
180555,202
180556,12
180557,153
180558,225
180559,136
180560,444
180561,136
180562,150
180563,39
180564,199
180565,59
180566,98
180567,54
180568,121
180569,187
180570,110
180571,189
180572,31
180573,82
180574,110
180575,444
180576,111
180577,106
180578,598
180579,133
180580,404
180581,791
180582,46
180583,157
180584,22
180585,55
180586,347
180587,308
180588,443
180589,304
180590,92
180591,157
180592,268
180593,33
180594,179
180595,387
180596,331
180597,198
180598,250
180599,248
180600,96
180601,88
180602,127
180603,187
180604,126
180605,170
180606,452
180607,352
180608,164
180609,108
180610,96
180611,76
180612,262
180613,190
180614,173
180615,257
180616,26
180617,118
180618,113
180619,24
180620,342
180621,618
180622,622
180623,64
180624,171
180625,127
180626,439
180627,225
180628,174
180629,331
180630,145
180631,62
180632,486
180633,91
180634,72
180635,224
180636,766
180637,365
180638,577
180639,119
180640,347
180641,505
180642,34
180643,312
180644,229
180645,29
180646,45
180647,208
180648,100
180649,52
180650,143
180651,540
180652,467
180653,50
180654,214
180655,249
180656,200
180657,259
180658,153
180659,171
180660,64
180661,44
180662,11
180663,81
180664,167
180665,168
180666,218
180667,59
180668,64
180669,197
180670,566
180671,99
180672,23
180673,130
180674,284
180675,327
180676,28
180677,254
180678,137
180679,248
180680,124
180681,177
180682,192
180683,107
180684,62
180685,272
180686,100
180687,30
180688,123
180689,91
180690,65
180691,4
180692,25
180693,1
180694,125
180695,216
180696,144
180697,213
180698,44
180699,22
180700,19
180701,2
180702,109
180703,9
180704,466
180705,108
180706,290
180707,150
180708,47
180709,27
180710,713
180711,688
180712,14
180713,217
180714,226
180715,151
180716,355
180717,70
180718,326
180719,236
180720,224
180721,329
180722,67
180723,184
180724,496
180725,399
180726,157
180727,473
180728,143
180729,135
180730,191
180731,206
180732,624
180733,25
180734,61
180735,1005
180736,70
180737,205
180738,182
180739,268
180740,394
180741,537
180742,477
180743,391
180744,14
180745,353
180746,853
180747,84
180748,346
180749,491
180750,730
180751,143
180752,180
180753,104
180754,134
180755,217
180756,182
180757,83
180758,94
180759,276
180760,79
180761,304
180762,93
180763,123
180764,62
180765,235
180766,7
180767,622
180768,1
180769,64
180770,62
180771,429
180772,90
180773,279
180774,1216
180775,769
180776,1856
180777,364
180778,631
180779,305
180780,233
180781,386
